"Rank","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","David Johnson","ARI","RB1","8","1","3","1.2","0.4","1.0","0.0"
"2","Le'Veon Bell","PIT","RB2","9","1","2","1.8","0.4","2.0","0.0"
"3","Antonio Brown","PIT","WR1","9","1","6","3.1","0.6","3.0","0.0"
"4","Julio Jones","ATL","WR2","5","3","14","5.3","1.7","4.0","0.0"
"5","Odell Beckham Jr.","NYG","WR3","8","4","16","5.7","2.1","5.0","0.0"
"6","LeSean McCoy","BUF","RB3","6","3","17","7.3","3.5","6.0","0.0"
"7","Mike Evans","TB","WR4","11","4","14","8.4","2.5","7.0","0.0"
"8","A.J. Green","CIN","WR5","6","5","14","8.9","2.6","8.0","0.0"
"9","Melvin Gordon","LAC","RB4","9","4","18","9.4","3.0","10.0","+1.0"
"10","Devonta Freeman","ATL","RB5","5","4","24","9.4","3.1","9.0","-1.0"
"11","Jordy Nelson","GB","WR6","8","5","16","10.7","2.8","11.0","0.0"
"12","Jay Ajayi","MIA","RB6","11","4","52","14.0","6.8","14.0","+2.0"
"13","DeMarco Murray","TEN","RB7","8","8","48","15.7","6.2","13.0","0.0"
"14","Michael Thomas","NO","WR7","5","5","20","12.3","3.0","12.0","-2.0"
"15","Jordan Howard","CHI","RB8","9","8","44","18.2","7.7","15.0","0.0"
"16","Doug Baldwin","SEA","WR8","6","10","42","18.9","5.3","22.0","+6.0"
"17","Dez Bryant","DAL","WR9","6","10","41","19.2","5.7","20.0","+3.0"
"18","Amari Cooper","OAK","WR10","10","10","40","19.9","4.7","18.0","0.0"
"19","Todd Gurley","LAR","RB9","8","9","39","20.8","6.1","17.0","-2.0"
"20","Brandin Cooks","NE","WR11","9","12","67","21.1","9.8","21.0","+1.0"
"21","Rob Gronkowski","NE","TE1","9","15","57","23.5","8.5","19.0","-2.0"
"22","Demaryius Thomas","DEN","WR12","5","18","47","24.8","5.8","28.0","+6.0"
"23","Ezekiel Elliott","DAL","RB10","6","5","76","25.0","13.2","16.0","-7.0"
"24","T.Y. Hilton","IND","WR13","11","14","55","25.9","8.7","25.0","+1.0"
"25","DeAndre Hopkins","HOU","WR14","7","18","47","26.8","6.5","27.0","+2.0"
"26","Keenan Allen","LAC","WR15","9","19","63","31.4","9.1","31.0","+5.0"
"27","Kareem Hunt","KC","RB11","10","10","60","31.8","11.1","38.0","+11.0"
"28","Isaiah Crowell","CLE","RB12","9","12","56","31.8","9.0","33.0","+5.0"
"29","Leonard Fournette","JAC","RB13","8","15","69","33.4","10.8","24.0","-5.0"
"30","Alshon Jeffery","PHI","WR16","10","22","73","34.8","9.1","37.0","+7.0"
"31","Travis Kelce","KC","TE2","10","17","56","34.9","7.3","35.0","+4.0"
"32","Dalvin Cook","MIN","RB14","9","11","97","35.6","14.7","34.0","+2.0"
"33","Terrelle Pryor","WAS","WR17","5","19","83","36.6","14.3","32.0","-1.0"
"34","Christian McCaffrey","CAR","RB15","11","16","96","37.7","15.3","26.0","-8.0"
"35","Golden Tate","DET","WR18","7","25","69","38.2","8.1","45.0","+10.0"
"36","Michael Crabtree","OAK","WR19","10","22","68","38.5","9.8","39.0","+3.0"
"37","Carlos Hyde","SF","RB16","11","17","56","39.9","9.6","43.0","+6.0"
"38","Larry Fitzgerald","ARI","WR20","8","11","91","40.5","13.6","46.0","+8.0"
"39","Lamar Miller","HOU","RB17","7","24","78","40.8","12.0","30.0","-9.0"
"40","Aaron Rodgers","GB","QB1","8","33","359","44.3","47.1","23.0","-17.0"
"41","Davante Adams","GB","WR21","8","20","76","41.9","12.8","41.0","0.0"
"42","Allen Robinson","JAC","WR22","8","25","71","42.3","10.8","47.0","+5.0"
"43","Ty Montgomery","GB","RB18","8","17","74","44.4","12.4","40.0","-3.0"
"44","Marshawn Lynch","OAK","RB19","10","27","101","44.5","15.1","36.0","-8.0"
"45","Tom Brady","NE","QB2","9","34","59","41.3","6.2","29.0","-16.0"
"46","Greg Olsen","CAR","TE3","11","23","66","46.6","7.0","48.0","+2.0"
"47","Tyreek Hill","KC","WR23","10","14","69","49.2","12.2","49.0","+2.0"
"48","Stefon Diggs","MIN","WR24","9","23","76","51.6","14.1","55.0","+7.0"
"49","Jordan Reed","WAS","TE4","5","34","87","51.8","9.6","50.0","+1.0"
"50","Emmanuel Sanders","DEN","WR25","5","25","95","52.0","14.1","60.0","+10.0"
"51","Drew Brees","NO","QB3","5","37","70","48.8","7.2","42.0","-9.0"
"52","Joe Mixon","CIN","RB20","6","22","95","52.1","13.3","44.0","-8.0"
"53","Mark Ingram","NO","RB21","5","12","76","52.6","13.7","56.0","+3.0"
