"Rank","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","David Johnson","ARI","RB1","8","1","2","1.2","0.4","1.0","0.0"
"2","Le'Veon Bell","PIT","RB2","9","1","3","1.9","0.4","2.0","0.0"
"3","Antonio Brown","PIT","WR1","9","3","9","3.6","1.0","3.0","0.0"
"4","Julio Jones","ATL","WR2","5","3","10","4.9","1.4","4.0","0.0"
"5","LeSean McCoy","BUF","RB3","6","2","16","6.4","3.3","5.0","0.0"
"6","Odell Beckham Jr.","NYG","WR3","8","4","19","6.7","2.6","6.0","0.0"
"7","Melvin Gordon","LAC","RB4","9","3","20","8.6","3.2","8.0","+1.0"
"8","Mike Evans","TB","WR4","11","4","15","8.6","2.5","9.0","+1.0"
"9","A.J. Green","CIN","WR5","6","5","18","9.4","3.0","10.0","+1.0"
"10","Devonta Freeman","ATL","RB5","5","3","21","9.4","3.2","7.0","-3.0"
"11","Jordy Nelson","GB","WR6","8","4","18","11.1","2.7","12.0","+1.0"
"12","Jay Ajayi","MIA","RB6","11","6","28","11.6","3.8","13.0","+1.0"
"13","Michael Thomas","NO","WR7","5","7","20","14.0","2.9","17.0","+4.0"
"14","Jordan Howard","CHI","RB7","9","7","25","14.8","4.3","14.0","0.0"
"15","DeMarco Murray","TEN","RB8","8","9","27","14.9","3.6","11.0","-4.0"
"16","Dez Bryant","DAL","WR8","6","10","37","18.9","4.8","20.0","+4.0"
"17","Todd Gurley","LAR","RB9","8","11","43","19.0","6.1","18.0","+1.0"
"18","Ezekiel Elliott","DAL","RB10","6","3","74","20.2","11.6","15.0","-3.0"
"19","Doug Baldwin","SEA","WR9","6","14","52","22.1","6.2","25.0","+6.0"
"20","Amari Cooper","OAK","WR10","10","11","41","22.2","5.3","24.0","+4.0"
"21","Brandin Cooks","NE","WR11","9","12","72","22.2","9.3","22.0","+1.0"
"22","Rob Gronkowski","NE","TE1","9","15","57","25.2","8.9","19.0","-3.0"
"23","Leonard Fournette","JAC","RB11","8","13","44","25.3","7.6","23.0","0.0"
"24","Isaiah Crowell","CLE","RB12","9","12","49","27.2","7.4","30.0","+6.0"
"25","T.Y. Hilton","IND","WR12","11","15","49","27.9","8.0","28.0","+3.0"
"26","Kareem Hunt","KC","RB13","10","13","58","28.7","9.3","49.0","+23.0"
"27","DeAndre Hopkins","HOU","WR13","7","19","44","29.8","5.5","32.0","+5.0"
"28","Carlos Hyde","SF","RB14","11","15","68","30.5","9.8","35.0","+7.0"
"29","Demaryius Thomas","DEN","WR14","5","20","70","30.7","7.9","37.0","+8.0"
"30","Lamar Miller","HOU","RB15","7","13","53","32.4","9.0","29.0","-1.0"
"31","Dalvin Cook","MIN","RB16","9","16","111","32.5","13.7","33.0","+2.0"
"32","Alshon Jeffery","PHI","WR15","10","22","62","34.8","7.3","38.0","+6.0"
"33","Marshawn Lynch","OAK","RB17","10","14","83","34.9","14.0","26.0","-7.0"
"34","Terrelle Pryor","WAS","WR16","5","19","79","35.1","11.4","34.0","0.0"
"35","Aaron Rodgers","GB","QB1","8","19","50","35.1","5.8","16.0","-19.0"
"36","Travis Kelce","KC","TE2","10","21","59","38.3","9.2","36.0","0.0"
"37","Tom Brady","NE","QB2","9","25","56","38.5","6.0","21.0","-16.0"
"38","Keenan Allen","LAC","WR17","9","22","86","41.3","11.0","41.0","+3.0"
